"gene","Biomarker_TSS_Start","Biomarker_TSS_End","Chromosome_edit"
"SCN4B","118133377","118152888","11"
"SCPEP1","56978129","57006768","17"
"BPIFA2","33161768","33181412","20"
"LAMB1","107923799","108003213","7"
"B3GNT7","231395710","231401164","2"
"POMC","25160853","25168903","2"
"ASRGL1","62337448","62393412","11"
"RPL14","40457292","40468587","3"
"CNP","41966763","41977740","17"
"COL2A1","47972967","48004554","12"
"TMEM132A","60924460","60937159","11"
"GIP","48958554","48968596","17"
"GRHPR","37422666","37436990","9"
"GGACT","100530164","100589528","13"
"CD80","119524293","119559614","3"
"BNIP2","59659146","59689339","15"
"ECHDC3","11742366","11764070","10"
"NT5C","75130225","75131757","17"
"GALNT5","157257705","157318491","2"
"MYBPC1","101568353","101686028","12"
"PTGR1","111549722","111599893","9"
"SPESP1","68818221","68946811","15"
"MMP15","58025754","58046901","16"
"NGFR","49495293","49515008","17"
"ELN","74027789","74069907","7"
"EHBP1","62673851","63046487","2"
"GET3","12737139","12748323","19"
"GGCT","30496621","30504841","7"
"COCH","30874514","30895065","14"
"MAN2B2","6575189","6623362","4"
"HBZ","142728","154503","16"
"DTYMK","241675747","241686944","2"
"MAMDC2","70043581","70226972","9"
"SRPX","38149336","38220924","X"
"BPIFB2","33007704","33023703","20"
"BCAT1","24810024","24949101","12"
"MYDGF","4641374","4670362","19"
"L3HYPDH","59460363","59484408","14"
"ASPN","92456205","92482506","9"
"TCOF1","150357629","150400308","5"
"COX6B1","35648323","35658782","19"
"TIMP2","78852977","78925387","17"
"CRYBB1","26599278","26618027","22"
"LECT2","135922279","135954983","5"
"UBE2L6","57551656","57568284","11"
"CPXM2","123706207","123940267","10"
"PDAP1","99392048","99408597","7"
"PTPRB","70515870","70637440","12"
"RAB11FIP3","425619","526533","16"
"TCTN3","95659823","95694143","10"
"CHMP6","80991598","81009517","17"
"PKD1","2088708","2135898","16"
"NPL","182789293","182830384","1"
"IGSF9","159927039","159945613","1"
"SARG","207018522","207032756","1"
"FCAMR","206957965","206970625","1"
"SCRG1","173384701","173406380","4"
"VIT","36696690","36814794","2"
"EEF1D","143579697","143599541","8"
"NIT2","100334739","100361635","3"
"HEPH","66162671","66268867","X"
"TPK1","144451941","144836395","7"
"SYTL4","100671783","100732123","X"
"GMFG","39328353","39342372","19"
"SGSH","80206716","80220923","17"
"RILPL2","123415039","123436684","12"
"PTPRZ1","121873089","122062036","7"
"PGD","10398592","10420511","1"
"CDA","20589086","20618903","1"
"LILRA6","54216894","54243483","19"
"MELTF","196980590","197029835","3"
"FAM20A","68535113","68601367","17"
"ADGRF5","46852522","46954943","6"
"PPM1F","21919425","21952848","22"
"FABP3","31365253","31376850","1"
"UPB1","24494107","24528390","22"
"TOMM20","235109341","235128837","1"
"RAB27B","54717860","54895516","18"
"ADAMTSL5","1505022","1513604","19"
"ACADSB","123008979","123058290","10"
"RAB10","26034084","26137454","2"
"TIMM10","57528464","57530803","11"
"SERPINE2","223975045","224039318","2"
"CMC1","28241584","28325142","3"
"LRRC59","50375059","50397523","17"
"CEACAM6","41750977","41772211","19"
"CTLA4","203853888","203873965","2"
"KLK3","50854915","50860764","19"
"ISM2","77474394","77498816","14"
"AMDHD2","2520357","2531422","16"
"LCP1","46125920","46211871","13"
"SLC4A1","44248390","44268141","17"
"ADAMTSL2","133532164","133575519","9"
"DDT","23970542","23980525","22"
"BDNF","27654893","27722058","11"
"CYTL1","5014586","5019458","4"
"PDIA4","149003062","149028662","7"
"LILRA3","54294043","54306726","19"
"MUC2","1074875","1116069","11"
"FBLN2","13549125","13638422","3"
"COL3A1","188974373","189012746","2"
"PTPRC","198638457","198757476","1"
"PRG2","57386780","57390650","11"
"MYH9","36281280","36388010","22"
"PRG3","57376769","57381150","11"
"TNFSF8","114893343","114930595","9"
"PPIF","79347469","79355334","10"
"TWF2","52228612","52246788","3"
"SHISA5","48467798","48504826","3"
"TREH","118657316","118679690","11"
"BGLAP","156242184","156243317","1"
"NPTX2","98617285","98629869","7"
"PRAP1","133347368","133352683","10"
"CTHRC1","103371538","103382989","8"
"CD248","66314494","66317044","11"
"FGFBP2","15960245","15969309","4"
"COL15A1","98943179","99070792","9"
"CSPG4","75674322","75712848","15"
"SBSN","35523367","35528351","19"
"CILP","65194760","65211473","15"
"CKB","103519667","103522833","14"
"STAB2","103587273","103766719","12"
"IGDCC4","65381484","65422947","15"
"CHGA","92923080","92935293","14"
"SLURP1","142740949","142742406","8"
"CLEC4M","7763210","7769605","19"
"CPQ","96645242","97149654","8"
"NOTCH2","119911553","120100779","1"
"ITGBL1","101452593","101720856","13"
"HPSE","83292461","83335153","4"
"POSTN","37562583","37598844","13"
"CELA2A","15456728","15472091","1"
"TNN","175067833","175148075","1"
"GM2A","151212150","151270440","5"
"TALDO1","747415","765012","11"
"ASAH1","18055992","18084998","8"
"LAMP1","113297239","113323672","13"
"GOT1","99396870","99430624","10"
"NPC2","74476192","74494177","14"
"PSAP","71816298","71851251","10"
"DAND5","12965159","12974760","19"
"EDNRB","77895481","77975529","13"
"IL12RB2","67307364","67398724","1"
"SPRED2","65310851","65432637","2"
"TPSG1","1221651","1225268","16"
"HIF1A","61695513","61748259","14"
"KDM3A","86440647","86492716","2"
"UBE2Z","48908407","48929056","17"
"TLR4","117704175","117724735","9"
"GLI2","120735623","120992653","2"
"FOLH1","49145092","49208638","11"
"DDX4","55738017","55817157","5"
"STX5","62806860","62832051","11"
"RICTOR","38937920","39074399","5"
"ESR1","151656691","152129619","6"
"HDAC8","72329516","72573101","X"
"PTPN9","75463251","75579315","15"
"EP300","41092592","41180077","22"
"SIRT1","67884656","67918390","10"
"POLR2A","7484366","7514616","17"
"IL21R","27402174","27452042","16"
"ST8SIA1","22063773","22437041","12"
"FGF6","4428155","4445815","12"
"PALLD","168497052","168928457","4"
"FOXJ3","42176539","42335877","1"
"YY1","100238298","100282788","14"
"UNC5D","35235475","35796550","8"
"CD3G","118344344","118355161","11"
"GAD2","26216665","26304558","10"
"LRIG3","58872149","58920504","12"
"NME1","51153559","51162428","17"
"RAP1A","111542218","111716691","1"
"RPA2","27891524","27914746","1"
"FGF12","192139390","192767764","3"
"MKI67","128096659","128126423","10"
"CCNE1","29811991","29824312","19"
"PRR5","44668547","44737681","22"
"CEBPA","33299934","33302534","19"
"FGF20","16992181","17002345","8"
"PGR","101029624","101129813","11"
"IL20RB","136946230","137011085","3"
"NPHS2","179550539","179575952","1"
"RELB","45001461","45038192","19"
"KLRF1","9827481","9845007","12"
"PIKFYVE","208266255","208358746","2"
"BABAM1","17267376","17281249","19"
"WASL","123681943","123749003","7"
"SSBP1","141738334","141787922","7"
"PTP4A3","141391991","141438356","8"
"TP53BP1","43403061","43510728","15"
"ADAMTS4","161184302","161199054","1"
"IL36A","113005459","113008044","2"
"RNF31","24146682","24160660","14"
"BAG4","38176533","38213301","8"
"IL31RA","55851357","55922854","5"
"THSD1","52377167","52416373","13"
"SMPD3","68358327","68448508","16"
"TSC1","132891348","132946874","9"
"TRAF3","102777449","102911500","14"
"TERF1","73008856","73048123","8"
"HS6ST2","132626015","132961395","X"
"CA8","60185412","60281400","8"
"PRSS22","2852730","2858170","16"
"PLCB1","8077251","8968360","20"
"CD36","80369575","80679277","7"
"SUMF1","3700814","4467273","3"
"IL31","122172029","122174221","12"
"AKR7L","19265982","19274194","1"
"MRPS16","73248843","73252693","10"
"XIAP","123859712","123913972","X"
"ADAM12","126012381","126388477","10"
"CSNK1D","82239023","82273700","17"
"DENR","122752824","122771064","12"
"DDX39A","14408798","14419383","19"
"CPOX","98579446","98593648","3"
"REPS1","138903493","138988261","6"
"ALPI","232456125","232460753","2"
"BCL2L15","113876816","113887581","1"
"CEMIP2","71683366","71816690","9"
"IGFL4","46039182","46077118","19"
"MCEMP1","7677088","7679829","19"
"TGFBR1","99104038","99154192","9"
"NEDD9","11183298","11382348","6"
"POF1B","85277396","85379717","X"
"DAPK2","63907036","64072033","15"
"RNF168","196468783","196503768","3"
"RBPMS","30384511","30572256","8"
"ZNF174","3401215","3409364","16"
"NAGA","42058334","42070842","22"
"SLITRK1","83877205","83882474","13"
"PER3","7784291","7845177","1"
"TSPYL1","116267760","116279930","6"
"ACRV1","125671522","125680874","11"
"PSMG4","3231403","3303373","6"
"C1QL2","119156243","119158751","2"
"SHH","155799980","155812463","7"
"TYRP1","12685439","12710285","9"
"ANKMY2","16599779","16645817","7"
"EVI5","92508696","92792404","1"
"NDUFA5","123536997","123557904","7"
"NEDD4L","58044226","58401540","18"
"NFAT5","69565094","69704666","16"
"LATS1","149658153","149718105","6"
"ACP1","264140","278283","2"
"BNIP3L","26383054","26505636","8"
"ZBP1","57603846","57620576","20"
"CSF3R","36466043","36483278","1"
"ADAMTS1","26835755","26845409","21"
"S100A13","153618787","153631360","1"
"CASP9","15490832","15526534","1"
"SEMA6C","151131685","151146631","1"
"TLR1","38790677","38856817","4"
"GIT1","29573475","29594054","17"
"DEFB103A_DEFB103B","7393965","12084681","8"
"FGF16","77447389","77457278","X"
"STAT2","56341597","56360203","12"
"ITGAL","30472658","30523567","16"
"MTDH","97644184","97730260","8"
"ERMAP","42817122","42844991","1"
"NPHS1","35825372","35869287","19"
"BLNK","96189171","96271587","10"
"GIPR","45668221","45683722","19"
"CD7","82314868","82317608","17"
"FGF3","69809968","69819416","11"
"NECTIN1","119623408","119729200","11"
"DGKA","55927319","55954027","12"
"PPM1B","44167969","44244384","2"
"DBN1","177456608","177474401","5"
"PDZK1","145670852","145708148","1"
"IL36G","112973203","112985658","2"
"CLEC12A","9951316","9995694","12"
"CSF2RB","36913628","36940439","22"
"VEGFB","64234584","64239264","11"
"VAMP8","85561562","85582031","2"
"CD226","69831158","69961803","18"
"EIF4E","98879276","98929133","4"
"TOP2B","25597978","25664909","3"
"STX7","132445867","132513198","6"
"PTGES2","128120693","128128462","9"
"PPL","4882507","4960741","16"
"NXPH3","49575871","49583827","17"
"INSR","7112255","7294414","19"
"RALB","120240064","120294710","2"
"NUMB","73275107","73458617","14"
"AFAP1","7758714","7939926","4"
"ITGA2","52989340","53094779","5"
"AKAP12","151239967","151358559","6"
"AMOT","112774503","112840831","X"
"PDIA3","43746394","43773279","15"
"GHR","42423439","42721878","5"
"BMP10","68860909","68871397","2"
"CD300A","74466399","74484794","17"
"SCGB3A1","180590105","180591499","5"
"ERP29","112013348","112023449","12"
"HEG1","124965710","125055997","3"
"DTD1","18587942","18766644","20"
"CST1","23747562","23751268","20"
"DIPK2B","45148373","45200901","X"
"MXRA8","1352689","1361777","1"
"PDE5A","119494397","119628804","4"
"ACHE","100889994","100896974","7"
"JAM3","134069071","134152001","11"
"COL5A1","134641803","134844843","9"
"ADGRD1","130953907","131141469","12"
"TNFRSF17","11965210","11968068","16"
"APPL2","105173297","105236203","12"
"PAXX","136992422","136993984","9"
"HMCN2","130265760","130434123","9"
"CELSR2","109249539","109275751","1"
"GLA","101393273","101408012","X"
"MENT","151047751","151051986","1"
"PSTPIP2","45983536","46072272","18"
"GNPDA2","44682200","44726588","4"
"MFAP4","19383442","19387190","17"
"SEMA3G","52433035","52445103","3"
"GAPDH","6534512","6538374","12"
"RLN2","5299864","5304716","9"
"DDI2","15617458","15669044","1"
"UROD","45010950","45015575","1"
"SERPINI1","167735243","167825569","3"
"YWHAQ","9583967","9630997","2"
"CPA4","130293134","130324180","7"
"PRR4","10824960","11203561","12"
"LEG1","127519455","127591820","6"
"TPD52L2","63865228","63891545","20"
"PCBD1","70882280","70888565","10"
"GP5","194394821","194399266","3"
"ADH1B","99304971","99352760","4"
"DNAJB6","157335381","157417439","7"
"NHLRC3","39038306","39050109","13"
"BMPER","33904308","34156427","7"
"TBCA","77691166","77868780","5"
"ANXA1","73151865","73170393","9"
"C1QTNF5","119338942","119340940","11"
"CRELD1","9933793","9945413","3"
"C1QTNF9","24307166","24322535","13"
"PRKG1","50990888","52298423","10"
"EPHA4","221418027","221574202","2"
"GMPR2","24232421","24239242","14"
"ST13","40824535","40856639","22"
"INHBB","120346136","120351803","2"
"FUOM","133355158","133358025","10"
"SPINK2","56809860","56821742","4"
"CTSE","206008535","206023909","1"
"TNFAIP8L2","151156649","151159749","1"
"SLC9A3R1","74748628","74769353","17"
"GCHFR","40764068","40767708","15"
"TP53I3","24077433","24085861","2"
"MYOM3","24056035","24112135","1"
"PHYKPL","178208471","178232802","5"
"RIDA","98102344","98117171","8"
"SYAP1","16719612","16765340","X"
"LZTFL1","45823316","45916042","3"
"MOCS2","53095679","53110063","5"
"GIMAP7","150514872","150521073","7"
"VTI1A","112446998","112818744","10"
"CD72","35609982","35646810","9"
"ACYP1","75053237","75069483","14"
"NAGPA","5024844","5034141","16"
"SNX15","65027439","65040572","11"
"SNCA","89700345","89838315","4"
"FGFR4","177086905","177098144","5"
"RABEP1","5282265","5386340","17"
"SFRP4","37905932","38025695","7"
"CACYBP","174999163","175012027","1"
"SUSD5","33150043","33218810","3"
"PINLYP","43575801","43583964","19"
"KLK7","50976468","50984099","19"
"ARHGAP45","1065923","1086628","19"
"UBXN1","62676498","62679117","11"
"ADD1","2843844","2930076","4"
"SPART","36301638","36370180","13"
"DCTD","182890060","182917936","4"
"MARS1","57475445","57517569","12"
"PTRHD1","24789728","24793391","2"
"CHAD","50464496","50468906","17"
"DNAJB2","219279342","219286898","2"
"SDK2","73334384","73644445","17"
"GLRX5","95533503","95544724","14"
"DAAM1","59188646","59371405","14"
"OLFM4","53028813","53052057","13"
"PENK","56436674","56446671","8"
"CSH1","63894909","63896661","17"
"PRDX2","12796820","12801800","19"
"MDH1","63588609","63607197","2"
"TXN","110243810","110256507","9"
"CGB3_CGB5_CGB8","49043848","49045311","19"
"RNASE1","20801228","20802855","14"
"APOB","21001429","21044073","2"
"NRGN","124739942","124747210","11"
"ABO","133233278","133276024","9"
"PI16","36948263","36964837","6"
"LCAT","67939750","67944131","16"
"NEXN","77888513","77943895","1"
"ASGR2","7101322","7115700","17"
"GPI","34359480","34402413","19"
"CSF1R","150053291","150113372","5"
"TREML1","41149337","41154347","6"
"SOD3","24789912","24800842","4"
"F10","113122799","113149529","13"
"SHBG","7613946","7633382","17"
"APOA2","161222292","161223631","1"
"TCN1","59852800","59866489","11"
"PEPD","33386950","33521823","19"
"RNASE6","20781268","20782467","14"
"FCN1","134903232","134917912","9"
"TGOLN2","85318027","85328251","2"
"VASP","45506579","45526989","19"
"PNLIP","116545931","116567855","10"
"MRC1","17809348","17911164","10"
"ACE","63477061","63498380","17"
"CR1","207496147","207641765","1"
"C9","39284140","39371324","5"
"PGA4","61222347","61231694","11"
"GSR","30678066","30727846","8"
"APOF","56360568","56362857","12"
"FGL1","17864380","17910365","8"
"DBH","133636363","133659329","9"
"PON1","95297676","95324532","7"
"RNASE4","20684560","20701216","14"
"AHSG","186613060","186621318","3"
"AMY1A_AMY1B_AMY1C","103655760","103664554","1"
"APOL1","36253071","36267530","22"
"AGT","230690776","230745576","1"
"CTBS","84549611","84574480","1"
"VNN1","132680849","132714055","6"
"CAT","34438934","34472060","11"
"MST1","49683947","49689501","3"
"GSN","121207794","121332843","9"
"CRISP3","49727376","49744437","6"
"CFHR5","196975010","197009678","1"
"BCHE","165772904","165837462","3"
"HGFAC","3441968","3449486","4"
"C8B","56929207","56974383","1"
"CFHR2","196943738","196959622","1"
"C1RL","7088818","7109238","12"
"ITIH1","52777595","52792068","3"
"F2","46719196","46739506","11"
"SERPINA7","106032435","106038727","X"
"B2M","44711358","44718888","15"
"SAA4","18231355","18236802","11"
"APOE","44905791","44909393","19"
"LYVE1","10556966","10611689","11"
"QSOX1","180154869","180204030","1"
"PZP","9148840","9208395","12"
"C1S","6988259","7071032","12"
"CLU","27596917","27614700","8"
"APOA4","116820700","116823304","11"
"CPB2","46053186","46105033","13"
"ATRN","3471018","3651118","20"
"ECM1","150508062","150513789","1"
"PROS1","93873051","93980003","3"
"CFD","859453","867884","19"
"F12","177402133","177416583","5"
"IGLC2","22900976","22901437","22"
"AFM","73481745","73504001","4"
"PGLYRP2","15468645","15498956","19"
"SERPINA6","94304248","94323394","14"
"C5","120932987","121075195","9"
"SELENOP","42799880","42887392","5"
"APOD","195568705","195584033","3"
"LPA","160531482","160664275","6"
"ADIPOQ","186842704","186858463","3"
"APOC1","44914247","44919349","19"
"SERPINA1","94376747","94392703","14"
"LRG1","4536402","4540036","19"
"SELL","169690665","169711702","1"
"C1R","7080214","7092540","12"
"BTD","15601341","15722311","3"
"CFB","31927837","32028527","6"
"CLEC3B","45001548","45036071","3"
"SERPINF1","1760880","1777565","17"
"CFHR4","196888014","196918795","1"
"MBL2","52765380","52772784","10"
"KLKB1","186226438","186258471","4"
"PPBP","73986439","73988190","4"
"ITIH4","52812962","52830688","3"
"SERPINA5","94561442","94593118","14"
"PF4","73980811","73982027","4"
"LGALS3BP","78971238","78979947","17"
"C7","40909492","41020216","5"
"SERPIND1","20774113","20787720","22"
"ORM1","114323098","114326479","9"
"APOA1","116835751","116837622","11"
"HRG","186660216","186678234","3"
"A1BG","58345178","58353492","19"
"CFI","109731008","109802150","4"
"F11","186266189","186289681","4"
"SERPINA4","94561442","94569913","14"
"CD5L","157830911","157898256","1"
"C3","6677704","6730562","19"
"SERPING1","57597387","57619171","11"
"APCS","159587826","159588865","1"
"SERPINF2","1741760","1755265","17"
"GC","71741696","71804041","4"
"F13B","197038741","197067260","1"
"TTR","31557009","31598833","18"
"TF","133746040","133796641","3"
"CFP","47623172","47630305","X"
"PLG","160702194","160754097","6"
"SERPINA3","94612384","94624055","14"
"FN1","215360440","215436073","2"
"FGA","154583126","154590742","4"
"SERPINC1","173903800","173917327","1"
"CFH","196651754","196752476","1"
"IFNL2","39268396","39270188","19"
"ARMCX2","101655281","101659850","X"
"AGBL2","47659591","47719930","11"
"UPK3A","45284949","45295874","22"
"VAV3","107571161","107965180","1"
"CDKL5","18425583","18653629","X"
"SYNGAP1","33419661","33593877","6"
"TJP3","3708362","3750813","19"
"TUBB3","89921392","89938761","16"
"CTNNA1","138610967","138935034","5"
"ZPR1","116773799","116788039","11"
"GRIN2B","13437942","13982002","12"
"GABRA4","46918900","46993581","4"
"SCN3B","123629187","123655244","11"
"CNGB3","86553977","86743675","8"
"KIRREL1","157993273","158100262","1"
"CNTF","58622665","58625733","11"
"KLF4","107484852","107490482","9"
"GLP1R","39048781","39091303","6"
"TSPAN7","38561542","38688920","X"
"SNAP25","10172395","10308258","20"
"RANBP2","108719482","108785810","2"
"KCNC4","110210314","110283100","1"
"IMPG1","75921114","76072678","6"
"CRYM","21238874","21303083","16"
"KIF20B","89701590","89774939","10"
"LYPLA2","23791145","23795539","1"
"FZD8","35638247","35642296","10"
"GPR101","137023929","137033995","X"
"CACNB1","39173453","39197702","17"
"CEND1","787115","790113","11"
"DNLZ","136359480","136363744","9"
"DEFB116","31303212","31308585","20"
"HTR1A","63957874","63962507","5"
"OTOA","21663968","21761935","16"
"BRD2","32890988","33135290","6"
"CD3D","118339075","118342705","11"
"ART5","3638512","3642316","11"
"RAB3GAP1","135052289","135176667","2"
"DCUN1D1","182938074","182985953","3"
"ECSCR","139448560","139462743","5"
"HDAC9","18086949","19002416","7"
"SCN2A","165194993","165392310","2"
"MYOM1","3066807","3219968","18"
"OMP","77102840","77103331","11"
"DOCK9","98793429","99086625","13"
"BOLA1","149887890","149900798","1"
"PCARE","29060976","29074523","2"
"FH","241497511","241519799","1"
"CACNA1C","1970772","2703922","12"
"IL13RA2","115003975","115019977","X"
"PNMA2","26504701","26514092","8"
"CSPG5","47562238","47580792","3"
"BCAT2","48795062","48811029","19"
"LELP1","153203430","153205120","1"
"STEAP4","88270892","88306894","7"
"BRME1","13882348","13906452","19"
"TFAP2A","10393186","10419659","6"
"DEFB104A_DEFB104B","7348998","7841242","8"
"ATXN2","111443485","111599676","12"
"CBLN1","49277917","49281838","16"
"TMPRSS11B","68226653","68245694","4"
"SMS","21940709","21994837","X"
"ELAVL4","50024029","50203772","1"
"KLRC1","10442264","10454685","12"
"BLOC1S2","100273280","100286680","10"
"SCIN","12570577","12660182","7"
"DEFB118","31368601","31373923","20"
"DGCR6","18906028","18914238","22"
"ITPRIP","104309698","104338465","10"
"ARID3A","925781","975939","19"
"IGDCC3","65327127","65378002","15"
"SH3BGRL2","79631329","79703655","6"
"LMOD2","123655866","123664290","7"
"KRT8","52897187","52949954","12"
"HTR1B","77460924","77463491","6"
"RRP15","218285293","218337983","1"
"MAP1LC3A","34546854","34560345","20"
"CHP1","41230839","41281887","15"
"CORO6","29614756","29622912","17"
"ARHGEF5","144355288","144475530","7"
"TXNL1","56597209","56651600","18"
"BHLHE40","4979437","4985323","3"
"SAG","233307816","233347055","2"
"CDH4","61252261","61940617","20"
"SPTBN2","66682497","66744670","11"
"ADGRV1","90529344","91164437","5"
"NLGN2","7404874","7419860","17"
"TP73","3652516","3736201","1"
"ERC2","55508311","56469095","3"
"AMIGO1","109504178","109509738","1"
"DTX2","76461676","76505995","7"
"C2orf69","199911293","199955935","2"
"CLEC2L","139523685","139544985","7"
"TRIM40","30125643","30227224","6"
"EPB41L5","120013077","120179119","2"
"FARSA","12922479","12934037","19"
"SOWAHA","132813302","132816786","5"
"MICALL2","1428465","1459470","7"
"CLIC5","45880827","46080348","6"
"MRI1","13764522","13774282","19"
"DDX25","125903348","125943702","11"
"NAA80","50296402","50299416","3"
"CGN","151510510","151538692","1"
"LRFN2","40391591","40587364","6"
"BATF","75522455","75546993","14"
"SLC44A4","31845377","31955518","6"
"FRMD7","132076990","132128020","X"
"KCNH2","150944961","150978321","7"
"NLGN1","173396284","174294372","3"
"NRXN3","78170373","79868291","14"
"CRTAP","33114014","33147773","3"
"SCN3A","165087526","165204050","2"
"PGM2","37826660","37862937","4"
"SOX9","72121020","72126416","17"
"LRTM1","54918231","54967088","3"
"LRP2BP","185363872","185395924","4"
"MN1","27748277","27801756","22"
"OSTN","191199241","191265615","3"
"TDO2","155854738","155920406","4"
"CNTNAP4","76277278","76560757","16"
"PDRG1","31944337","31952046","20"
"RBP1","139517434","139539829","3"
"CUZD1","122832158","122846175","10"
"CADPS","62398346","62875416","3"
"CABP2","67518912","67524517","11"
"MYLPF","110910819","110921443","12"
"PSMD5","120815496","120842951","9"
"HNF1A","120978543","121002512","12"
"GNGT1","93591573","93911265","7"
"CASC3","40140318","40172171","17"
"CD164L2","27379176","27383333","1"
"TBR1","161416297","161425870","2"
"LRRC38","13474973","13514003","1"
"DYNLT1","158636474","158644743","6"
"SLC1A4","64988477","65023865","2"
"DOC2B","142789","181650","17"
"TPBGL","75240774","75243704","11"
"CLNS1A","77514936","77637794","11"
"CHRM1","62908679","62921807","11"
"FZD10","130162459","130165740","12"
"DIPK1C","74434775","74457944","18"
"MFAP3L","169986597","170033031","4"
"STX1B","30989256","31010638","16"
"DUSP29","75037472","75073642","10"
"MYL6B","56152256","56159647","12"
"TARM1","54069895","54081380","19"
"PFDN6","33210906","33468744","6"
"MSLNL","769428","783370","16"
"TMCO5A","37921939","37967724","15"
"PRKAG3","218822308","218832086","2"
"TTF2","117060326","117107453","1"
"PMS1","189784085","189877629","2"
"DDX53","22999960","23003589","X"
"MDM1","68272443","68332381","12"
"GTPBP2","43605316","43629264","6"
"PPT1","40072710","40097260","1"
"SCN2B","118162806","118176639","11"
"AP2B1","35578046","35726413","17"
"LYSMD3","90515611","90529584","5"
"SCT","626309","627401","11"
"CAMLG","134738495","134752157","5"
"DCC","52340197","53535903","18"
"EFNB2","106489745","106535662","13"
"AKR1B10","134527567","134541412","7"
"AIDA","222668013","222713210","1"
"CLGN","140388453","140427661","4"
"RAC3","82031678","82034204","17"
"RPGR","38269163","38327544","X"
"LRP2","169127109","169362534","2"
"RRAS","49635292","49640143","19"
"IFT20","28328325","28335489","17"
"PTH","13492054","13496181","11"
"UROS","125784980","125823258","10"
"SV2A","149903318","149917844","1"
"GBA","155234452","155260266","1"
"MAG","35292125","35313807","19"
"SEZ6","28954901","29006440","17"
"COL28A1","7356203","7535873","7"
"CIT","119685791","119877320","12"
"TEX101","43401496","43418597","19"
"CHM","85861180","86047561","X"
"CCDC28A","138773769","138793319","6"
"FBN2","128257909","128659185","5"
"INPP5J","31122731","31134697","22"
"DLGAP5","55148112","55191608","14"
"GRIK2","100962701","102081622","6"
"SORBS1","95311771","95561414","10"
"SPAG1","100157906","100259278","8"
"ATXN2L","28822999","28837237","16"
"SOX2","181711925","181714436","3"
"TPSD1","1256059","1259008","16"
"NRN1","5997999","6007605","6"
"RBFOX3","79089345","79611051","17"
"CDK5RAP3","47967810","47981781","17"
"KLHL41","169509702","169526258","2"
"S100A14","153614255","153616986","1"
"NFIC","3314403","3469217","19"
"MYO6","75749201","75919537","6"
"SPACA5_SPACA5B","48004336","48009733","X"
"LEO1","51938025","51971778","15"
"FCER1A","159289714","159308224","1"
"DSCAM","40010999","40847158","21"
"ARHGEF10","1823926","1958641","8"
"RLN1","5334930","5339876","9"
"MYCBP2","77042474","77327094","13"
"PPP1R14D","40815451","40828709","15"
"PAFAH1B3","42297033","42303546","19"
"RGS10","119499817","119542719","10"
"DNM3","171817887","172418466","1"
"CCDC50","191329085","191398659","3"
"VWC2L","214411054","214578976","2"
"PCBP2","53452102","53481162","12"
"GART","33503931","33543491","21"
"FAM171A2","44353215","44363853","17"
"HJV","146017468","146036746","1"
"C1QBP","5432777","5448830","17"
"GNAS","58839718","58911192","20"
"PHACTR2","143536845","143831185","6"
"EDF1","136862119","136866308","9"
"PPP1R14A","38251237","38256532","19"
"SAFB2","5586999","5624046","19"
"GPR158","25174802","25602229","10"
"TMEM25","118531041","118547280","11"
"TSC22D1","44432143","44577147","13"
"SLA2","36612318","36646196","20"
"LETM1","1811479","1856156","4"
"SNAPIN","153658703","153661852","1"
"LRTM2","1820267","1836753","12"
"NMT1","44957992","45109016","17"
"EIF4G3","20806292","21177285","1"
"MRPL28","366969","371289","16"
"ARFIP1","152779937","152918463","4"
"SEPTIN3","41969443","41998221","22"
"GOLGA3","132768902","132829143","12"
"RNASEH2A","12806584","12813640","19"
"REEP4","22138020","22141951","8"
"ELAC1","50967991","50988121","18"
"RTN4IP1","106570771","106629498","6"
"SUOX","55997180","56006641","12"
"LCN15","136759634","136766255","9"
"MCEE","71109684","71130239","2"
"RBM17","6089034","6117457","10"
"NARS1","57600656","57622213","18"
"MRPL58","75012670","75021261","17"
"HNRNPUL1","41262496","41307787","19"
"SATB1","18345377","18445621","3"
"CACNB3","48813794","48828941","12"
"FGD3","92947523","93036236","9"
"GID8","62938147","62948475","20"
"BRSK2","1389899","1462689","11"
"DDHD2","38225218","38275558","8"
"EFHD1","232606057","232682776","2"
"PCDH12","141943581","141969741","5"
"ALDH5A1","24494867","24537207","6"
"HLA-A","29879141","30024386","6"
"C1QTNF6","37180166","37199385","22"
"S100G","16650158","16654670","X"
"AKT2","40230317","40285536","19"
"CSNK2A1","472498","543835","20"
"STXBP1","127579370","127696027","9"
"ASPSCR1","81976807","82017406","17"
"AZI2","28315003","28349050","3"
"PSMD1","231056845","231173116","2"
"IGBP1","70133447","70166324","X"
"RGCC","41457550","41470871","13"
"PIBF1","72782133","73016461","13"
"GIGYF2","232697299","232860605","2"
"PDLIM5","94451857","94668227","4"
"OTUD7B","149937812","150010726","1"
"FKBP14","30010587","30026702","7"
"NEO1","73051710","73305205","15"
"VGF","101162509","101165569","7"
"LDLRAP1","25543606","25568886","1"
"OCLN","69492007","69558104","5"
"CAMSAP1","135808487","135907546","9"
"DLG4","7187187","7219841","17"
"DHRS4L2","23969874","24006408","14"
"MORC3","36320189","36386148","21"
"CDH23","71396920","71815947","10"
"TAX1BP1","27739331","27844564","7"
"CDAN1","42723544","42737128","15"
"CCAR2","22604757","22620964","8"
"MTHFD2","74186172","74217565","2"
